fit_dir,total_dir,analysis,outcome,gamma_index,level,restaurant,type_fine,model_col,total_source,mean,median,q2.5,q16,q84,q97.5
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,NA,restaurant,ED5J990H5VAZT,gender_female,exposure_ED5J990H5VAZT_1_genderfemale,matched_restaurant,0.0026059734427,0.00167175,-0.059668852625,-0.02871018888,0.03410916,0.06769955625
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,1,pooled,NA,level,NA,mu_gamma_total,-0.0246668804752667,-0.01707885,-0.35734522275,-0.1411119,0.0859651068,0.2999346725
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,2,pooled,NA,slope,NA,mu_gamma_total,0.00262415504775,0.0064148,-0.40734145,-0.159508368,0.165908688,0.36643775375
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,3,pooled,NA,gender_male,NA,mu_gamma_total,0.0550398493289,0.0417991,-0.3732714475,-0.141332476,0.266904892,0.5546288825
model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,nonvegan,4,pooled,NA,gender_female,NA,mu_gamma_total,0.0134114180896823,0.01441125,-0.3044513425,-0.120570224,0.1480834208,0.3226126725
model_fits/finalized_redone_trunc_cp/a5_customer_day/vegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,vegan,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_1,matched_restaurant,-0.0115683626448333,-0.00871864,-0.177872145,-0.086075426,0.059367692,0.1462072575
model_fits/finalized_redone_trunc_cp/a5_customer_day/vegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,vegan,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_2,matched_restaurant,0.02933064349042,0.02984845,-0.1444411205,-0.0450356832,0.1052772336,0.19406772075
model_fits/finalized_redone_trunc_cp/a5_customer_day/vegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,vegan,NA,restaurant,2HRX9P6HKXA8V,level,exposure_2HRX9P6HKXA8V_1,matched_restaurant,0.0783137823259,0.07439606,-0.12028304865,-0.0121850724,0.16761658,0.30856139
model_fits/finalized_redone_trunc_cp/a5_customer_day/vegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,vegan,NA,restaurant,L69HYJ4Y3TR91,level,exposure_L69HYJ4Y3TR91_1,matched_restaurant,-0.0348563003853833,-0.02131368,-0.325081111,-0.13860384,0.06817844,0.17151522
model_fits/finalized_redone_trunc_cp/a5_customer_day/vegan,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,vegan,NA,restaurant,ED5J990H5VAZT,level,exposure_ED5J990H5VAZT_1,matched_restaurant,0.0143264741900267,0.014493745,-0.0596604782,-0.02141338,0.05025809876,0.08694952025
