path,height,y_lo,y_hi,y_span,px_per_y_unit,n_points,status
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted_adj/A1_proportion_forest_restaurants_log.html,,-1.5897,6.4083,7.9980,50.0125,1148,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted_adj/A2_proportion_targeted_forest_restaurants_log.html,,5.8950,6.0900,0.1950,2051.2821,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted_adj/A3_its_forest_restaurants_log.html,,5.8950,6.0900,0.1950,2051.2821,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_log_and_overlay/t2_sorted_adj/A4_its_targeted_forest_restaurants_log.html,,5.8875,6.0975,0.2100,1904.7619,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots/A1_proportion_forest.html,,0.4000,6.6000,6.2000,64.5161,56,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots/A2_proportion_targeted_forest.html,,0.4000,6.6000,6.2000,64.5161,16,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots/A3_its_forest.html,,0.4000,6.6000,6.2000,64.5161,16,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots/A4_its_targeted_forest.html,,0.4000,4.6000,4.2000,95.2381,12,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_chosen/A1_proportion_forest.html,,0.4000,6.6000,6.2000,64.5161,56,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_chosen/A2_proportion_targeted_forest.html,,0.4000,6.6000,6.2000,64.5161,16,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_chosen/A3_its_forest.html,,0.4000,6.6000,6.2000,64.5161,16,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_chosen/A4_its_targeted_forest.html,,0.4000,4.6000,4.2000,95.2381,12,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone/A1_proportion_forest.html,,0.4000,6.6000,6.2000,64.5161,56,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone/A2_proportion_targeted_forest.html,,0.4000,6.6000,6.2000,64.5161,16,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone/A3_its_forest.html,,0.4000,6.6000,6.2000,64.5161,16,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone/A4_its_targeted_forest.html,,0.4000,4.6000,4.2000,95.2381,12,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone2/A2_proportion_targeted_forest.html,,0.4000,1.6000,1.2000,333.3333,6,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone2/A4_its_targeted_forest.html,,0.4000,1.6000,1.2000,333.3333,6,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone3/A1_proportion_forest.html,,0.4000,1.6000,1.2000,333.3333,18,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_redone3/A2_proportion_targeted_forest.html,,0.4000,2.6000,2.2000,181.8182,8,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants/A1_proportion_forest_restaurants.html,,-0.7618,6.3723,7.1340,56.0695,516,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants/A2_proportion_targeted_forest_restaurants.html,,-0.5830,5.5465,6.1295,65.2582,88,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants/A3_its_forest_restaurants.html,,-0.9090,6.6570,7.5660,52.8681,220,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants/A4_its_targeted_forest_restaurants.html,,-0.1813,3.4658,3.6470,109.6792,56,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen/A1_proportion_forest_restaurants.html,,-0.7618,6.3723,7.1340,56.0695,500,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen/A2_proportion_targeted_forest_restaurants.html,,-0.2230,5.5165,5.7395,69.6925,68,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen/A3_its_forest_restaurants.html,,-0.8130,6.6490,7.4620,53.6049,188,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen/A4_its_targeted_forest_restaurants.html,,0.0687,3.4358,3.3670,118.8001,40,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_log/A1_proportion_forest_restaurants_log.html,,-0.7618,6.3723,7.1340,56.0695,500,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_log/A2_proportion_targeted_forest_restaurants_log.html,,-0.2230,5.5165,5.7395,69.6925,68,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_log/A3_its_forest_restaurants_log.html,,-0.8130,6.6490,7.4620,53.6049,188,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_log/A4_its_targeted_forest_restaurants_log.html,,0.0687,3.4358,3.3670,118.8001,40,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored/A1_proportion_forest_restaurants.html,,-0.7618,6.3723,7.1340,56.0695,500,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored/A2_proportion_targeted_forest_restaurants.html,,-0.4230,6.6165,7.0395,56.8222,72,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored/A3_its_forest_restaurants.html,,-0.8130,6.6490,7.4620,53.6049,188,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored/A4_its_targeted_forest_restaurants.html,,-0.1813,4.5857,4.7670,83.9102,44,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored_log/A1_proportion_forest_restaurants_log.html,,-0.7618,6.3723,7.1340,56.0695,500,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored_log/A2_proportion_targeted_forest_restaurants_log.html,,-0.4230,6.6165,7.0395,56.8222,72,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored_log/A3_its_forest_restaurants_log.html,,-0.8130,6.6490,7.4620,53.6049,188,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_chosen_recolored_log/A4_its_targeted_forest_restaurants_log.html,,-0.1813,4.5857,4.7670,83.9102,44,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_log/A1_proportion_forest_restaurants_log.html,,-0.7618,6.3723,7.1340,56.0695,516,NO_HEIGHT
/home/godli/testing/forest_plots/z_precursors/forest_plots_restaurants_log/A2_proportion_targeted_forest_restaurants_log.html,,-0.5830,5.5465,6.1295,65.2582,88,NO_HEIGHT
