"fit_dir","total_dir","analysis","outcome","gamma_index","level","restaurant","type_fine","mean","q2.5","q97.5","mean_exp","mean_exp_p10","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","L69HYJ4Y3TR91","slope",0.729539077321333,-0.74349705,2.292237,3.0682653337107,1.07855988485514,1.00640192193733,350.465187781745,671.028752895481
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","VLZX7K2M9QD4T","level",-0.0534587504920817,-0.148374487,0.04006447425,0.949051523272666,0.994679987758263,1.00067421367054,2627.40295949741,3846.74515931434
"model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","chicken_fish",NA,"restaurant","VLZX7K2M9QD4T","slope",0.159069675535833,-0.58916165,0.8377832,1.25454465374234,1.01673406631861,1.01097950154827,368.455405549871,1163.69285371403
"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","meat",1,"pooled",NA,"level",-0.0515458217356417,-0.196491745,0.0682088404749998,0.95178707481138,0.994880026485546,1.00843448540077,270.746286548926,292.478400438942
"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","meat",2,"pooled",NA,"slope",-0.06970874236,-0.6330438,0.575032719999999,0.972299062887131,0.993453643365519,1.01267495310015,156.898175744979,236.424347444581
"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","meat",NA,"restaurant","2HRX9P6HKXA8V","level",-0.00290875880048333,-0.220236355,0.2038355725,1.00243650971519,0.999762714657332,1.01274779120605,262.624663859402,908.04944913234
"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","meat",NA,"restaurant","2HRX9P6HKXA8V","slope",-0.142242448235733,-0.8509039125,0.462914375,0.913545381812888,0.986410491198584,1.01213557189119,178.208606881909,311.319844587533
"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","meat",NA,"restaurant","ED5J990H5VAZT","level",-0.056370865015,-0.2471748825,0.1057917075,0.948714728977525,0.994416130621508,1.01134523027309,532.910143382564,498.072241300857
"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","meat",NA,"restaurant","ED5J990H5VAZT","slope",-0.00327840666833333,-0.39810655,0.38769485,1.01685522995014,0.999872348488194,1.00588629556991,326.391427557285,558.064583281485
"model_fits/finalized_redone_trunc_cp/a3_its/meat","model_fits/finalized_redone_trunc_cp/a3_its/total","a3_its","meat",NA,"restaurant","JHDN7CF1C03X5","level",-0.0528121193490867,-0.15812127525,0.0487243025,0.949886122788707,0.994746629714905,1.00602192905919,780.631022571139,1618.14716015592
