outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
chicken_fish,NA,0.118900927525033,-0.129698295,0.36513554575,3.29644168439935,3.34779656344999,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.007332195115273138,0.24513405016533915
chicken_fish,NA,-0.0115953682134033,-0.0854185025,0.067474344,2.76573891533711,3.53007798874987,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.050598645381770654,0.02740790895496405
chicken_fish,NA,-0.0711170671777933,-0.364681725,0.17509947,2.85318611553311,3.47072655338972,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2088163516165688,0.06658221726098222
chicken_fish,NA,0.0239497861973667,-0.0248195395,0.07117676875,2.67745016199095,3.52655159705363,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-5.39067948041462e-4,0.04843864034277486
chicken_fish,NA,-0.0291276957975,-0.093876085,0.031310782,3.42922339708855,3.32265369757453,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06106312105260204,0.0028077294576020415
chicken_fish,NA,0.212440793425217,-0.093004225,0.445952835,2.82952006576327,3.48955039695962,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.07495174750684963,0.34992983934358435
chicken_fish,NA,-0.478722297801933,-1.1346573,0.10651965,2.6406391259252,3.55662132842579,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7953490707611166,-0.1620955248427493
chicken_fish,NA,-0.542861651923333,-1.0798784,-0.1292637225,3.01168820180491,3.43122394865523,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7853653961835371,-0.300357907663129
chicken_fish,NA,-0.168134272108867,-0.399072525,0.0658838450000001,2.80076964653913,3.48913346188162,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.28674559098641805,-0.04952295323131595
chicken_fish,NA,0.00507426824156667,-0.153567252825,0.159042311275,2.66762798295559,3.5582461374461,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07467306953904555,0.0848216060221789
