outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
vegetarian,vegetarian,Proportion,0,NA,0.9998334007078036,-0.5978370007556204,0.636576829071551,1.00068144622179,Restaurant,78AY09MVJVTYE,Plant-based,18,3,0.12
vegetarian,vegetarian,Proportion,1.4445632692438664,NA,1.1555275848183588,0.4885800148186709,2.3758355547336385,1.00264706926557,Restaurant,9XKJD8DQTH559,Plant-based,18,4,0.12
vegetarian,vegetarian,Proportion,0.4382549309311553,NA,1.0449922134195233,-0.4780358009429998,1.3428648031925547,1.00161961356275,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegetarian,vegetarian,Proportion,0.7654678421395714,NA,1.0796741991619085,-0.09431067947124129,1.6863989535702288,1.00589182140454,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
vegetarian,vegetarian,Proportion,2.4176979000945504,NA,1.27345937442221,1.5040773967762742,3.3579418729911983,1.00106247008596,Restaurant,ED5J990H5VAZT,Plant-based,18,7,0.12
vegetarian,vegetarian,Proportion,1.2383742310432684,NA,1.1317815455142113,0.371563556432483,2.1234584270966104,1.00857546725103,Restaurant,EMBVNVD207CC6,Plant-based,18,8,0.12
vegetarian,vegetarian,Proportion,1.9974177062012453,NA,1.2211370568635005,0.8919980393051105,3.1834558796369405,1.00787401122528,Restaurant,JHDN7CF1C03X5,Plant-based,18,9,0.12
vegetarian,vegetarian,Proportion,2.826129489167811,NA,1.3265679614191364,1.0260415958332743,4.865840709193022,1.01105821284607,Restaurant,L69HYJ4Y3TR91,Plant-based,18,10,0.12
vegetarian,vegetarian,Proportion,0.04879016416943205,NA,1.0053049107740295,-0.9942522733438669,1.075002423028976,1.00154253225495,Restaurant,LBZEEFSBJNB3Z,Plant-based,18,11,0.12
vegetarian,vegetarian,Proportion,2.516889695641051,NA,1.2861792216777377,0.3364722366212129,5.203072184631304,1.00506553067515,Restaurant,LFZFT3VASXPED,Plant-based,18,12,0.12
vegetarian,vegetarian,Proportion,0.23111172096338664,NA,1.0237499012106204,-1.5606477482646683,1.9782390361706734,1.00127945121995,Restaurant,LQ5EH4BKGV61T,Plant-based,18,13,0.12
vegetarian,vegetarian,Proportion,-1.4271163556401458,NA,0.8672250653965741,-2.5257286443082556,-0.3856624808119846,1.00031073446308,Restaurant,S8MT0YGD2KTN9,Plant-based,18,14,0.12
vegetarian,vegetarian,Proportion,0.9745596399981308,NA,1.102314635596654,-1.2039728043259361,3.152736022363656,1.00286897500096,Restaurant,SAFK7ND1HR6XS,Plant-based,18,15,0.12
vegetarian,vegetarian,Proportion,1.7884205679625405,NA,1.1958426110417824,1.2947271675944,2.2965670206684825,1.00371473357392,Restaurant,SRQS8F7JWA9MZ,Plant-based,18,16,0.12
vegetarian,vegetarian,Proportion,1.2178757094949273,NA,1.1296690109908656,0.5128236264286637,1.9286186519452522,1.00353945404814,Restaurant,V3Q26BHF3SE2H,Plant-based,18,17,0.12
vegetarian,vegetarian,Proportion,1.8779371654691073,NA,1.206662387581373,0.7747271675523681,3.056356895370426,1.00270133922851,Restaurant,W8T41JZK0ZMEP,Plant-based,18,18,0.12
