outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
vegan,vegetarian,Count,0.04886597446098,1.0506059294388603,1.004903577093699,-0.0108371075,0.11390195000000003,1.0269782768550348,Pooled,POOLED,Plant-based
vegan,vegetarian,Proportion,1.26185195176,3.9652159613240245,1.135826558974137,0.22464770000000006,2.17138925,1.0117014558297612,Pooled,POOLED,Plant-based
total,mpbamod,Count,0.1823215567939546,NA,1.0181132024976407,0.11332868530700327,0.2468600779315258,1.0008533834341002,Restaurant,SRQS8F7JWA9MZ,Total
total,mpbamod,Count,-0.09431067947124129,NA,0.9899026749558585,-0.2744368457017603,0.04879016416943205,1.0026710443279006,Restaurant,2HRX9P6HKXA8V,Total
total,mpbamod,Count,0,NA,1.0001454364291953,-0.030459207484708574,0.02955880224154443,1.0015076998647916,Restaurant,JHDN7CF1C03X5,Total
total,mpbamod,Count,0.09531017980432493,NA,1.0091603533236797,-0.020202707317519466,0.2151113796169455,1.001842081867491,Restaurant,L69HYJ4Y3TR91,Total
total,mpbamod,Count,0.01980262729617973,NA,1.0021408744594968,0.009950330853168092,0.03922071315328133,1.0049037414506032,Restaurant,ED5J990H5VAZT,Total
total,mpbamod,Count,0.01980262729617973,NA,1.00164231821338,0,0.03922071315328133,1.0019697266901073,Restaurant,W8T41JZK0ZMEP,Total
total,mpbamod,Proportion,1.7351891177396608,NA,1.1833429361829468,1.0296194171811581,2.330200260027019,1.0022502494334025,Restaurant,SRQS8F7JWA9MZ,Total
total,mpbamod,Proportion,-0.23572233352106983,NA,0.9205951946116941,-3.912023005428146,1.1786549963416462,1.003529215962884,Restaurant,2HRX9P6HKXA8V,Total
total,mpbamod,Proportion,-0.342490308946776,NA,0.9521623799674889,-1.7147984280919266,0.5306282510621704,1.0013782736272896,Restaurant,JHDN7CF1C03X5,Total
total,mpbamod,Proportion,1.572773928062509,NA,1.0827259987397577,-1.5141277326297755,3.170945291110651,1.0045855949916835,Restaurant,L69HYJ4Y3TR91,Total
total,mpbamod,Proportion,0.35065687161316933,NA,1.034098068663385,-0.01005033585350145,0.6678293725756554,1.0018884656141416,Restaurant,ED5J990H5VAZT,Total
total,mpbamod,Proportion,0.6471032420585384,NA,1.0554383104973046,-0.4155154439616658,1.501852701754163,1.0096539499703494,Restaurant,W8T41JZK0ZMEP,Total
total,vegan,Count,0.8671004876833833,NA,1.0904222896294338,0.7178397931503168,1.0152306797290584,1.0006919680176134,Restaurant,SRQS8F7JWA9MZ,Total
total,vegan,Count,0.009950330853168092,NA,1.0006894888348346,-0.08338160893905101,0.09531017980432493,1.0028104796908337,Restaurant,2HRX9P6HKXA8V,Total
total,vegan,Count,-0.01005033585350145,NA,0.9993487583129796,-0.020202707317519466,0.009950330853168092,0.9997125893314841,Restaurant,JHDN7CF1C03X5,Total
total,vegan,Count,0.11332868530700327,NA,1.0111797247135392,0.058268908123975824,0.16551443847757333,1.0009647506041959,Restaurant,L69HYJ4Y3TR91,Total
total,vegan,Count,0.2468600779315258,NA,1.0245911781296189,0.1906203596086497,0.30010459245033816,1.0002607778112778,Restaurant,ED5J990H5VAZT,Total
total,vegan,Count,0.02955880224154443,NA,1.0027969453164403,0.009950330853168092,0.03922071315328133,1.0005548986522794,Restaurant,W8T41JZK0ZMEP,Total
total,vegan,Proportion,1.8976198599275322,NA,1.204370731955883,1.297463147413275,2.444084655267745,1.0018497859288666,Restaurant,SRQS8F7JWA9MZ,Total
total,vegan,Proportion,0.3576744442718159,NA,1.0060093437616153,-1.6094379124341003,1.6272778305624314,1.0017590915211874,Restaurant,2HRX9P6HKXA8V,Total
total,vegan,Proportion,-0.6539264674066639,NA,0.927011921377006,-1.6607312068216509,0.1570037488096647,1.0003659644828025,Restaurant,JHDN7CF1C03X5,Total
total,vegan,Proportion,3.6768068728796672,NA,1.3884086549300083,1.4816045409242156,5.006158622069178,1.0057606876565321,Restaurant,L69HYJ4Y3TR91,Total
total,vegan,Proportion,1.6808279085207734,NA,1.1680271655243721,0.4885800148186709,2.578700529074361,1.0014639301403847,Restaurant,ED5J990H5VAZT,Total
total,vegan,Proportion,1.324418957401803,NA,1.130060310201904,0.30010459245033816,2.1713368063840917,1.0021017416661198,Restaurant,W8T41JZK0ZMEP,Total
total,vegetarian,Count,0.058268908123975824,NA,1.0060433584510795,0.03922071315328133,0.08617769624105241,1.0031119224841982,Restaurant,SRQS8F7JWA9MZ,Total
total,vegetarian,Count,0.009950330853168092,NA,1.0007363820701336,-0.06187540371808753,0.0769610411361284,1.0085842497985436,Restaurant,2HRX9P6HKXA8V,Total
total,vegetarian,Count,0,NA,1.0003415324335398,-0.01005033585350145,0.01980262729617973,1.000743630169403,Restaurant,JHDN7CF1C03X5,Total
total,vegetarian,Count,0.06765864847381486,NA,1.0066189909093286,0.02955880224154443,0.10436001532424286,1.0079404710860673,Restaurant,L69HYJ4Y3TR91,Total
total,vegetarian,Count,0.10436001532424286,NA,1.0104403412991945,0.08617769624105241,0.131028262406404,1.0004427149025357,Restaurant,ED5J990H5VAZT,Total
total,vegetarian,Count,0.01980262729617973,NA,1.0018577348077242,0.009950330853168092,0.02955880224154443,1.000609449230466,Restaurant,W8T41JZK0ZMEP,Total
total,vegetarian,Proportion,0.9745596399981308,NA,1.100263744394006,0.5423242908253617,1.3812818192963463,1.0004836745843153,Restaurant,SRQS8F7JWA9MZ,Total
