outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
vegetarian,vegan,Proportion,0.5226060448489022,-0.9592142168336334,1.0945944780660304,NA,1.18636888683808,1.00171103655426,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Proportion,NA,NA,0.8606836200251732,NA,0.961366112732449,1.00214494900885,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Proportion,NA,NA,NA,NA,0.843531012880927,1.00243419854512,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Proportion,NA,NA,0.19674201784999826,NA,0.995568733882916,1.00068166929962,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegetarian,Count,-7.380229794113715,NA,-2.2165913769790695,NA,1.00007750242496,1.00232034037701,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegetarian,Count,-3.5995672343442875,NA,-2.80699774058593,NA,1.00273867665981,1.00170108363002,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegetarian,Count,-3.4360169906706117,-4.3728878409487,-2.9609972020191897,NA,1.00322496246753,1.00103442991806,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegetarian,Count,-5.114336941312476,NA,-2.782731628034313,NA,1.00060498625396,1.00196803542016,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegetarian,Count,-2.4927565804308838,-3.1990349017366886,-2.075246991119943,NA,1.0083048270942,1.00082662346189,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegetarian,Count,-6.541230148090608,NA,-4.1019847744551905,NA,1.00014457493434,1.00024308247835,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegetarian,Proportion,-0.02969129911314152,NA,1.1941886981816754,NA,1.11027426909775,1.05527021717424,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegetarian,Proportion,-0.12356755481872655,NA,0.7452565087763049,NA,1.09463208419271,1.01399916308653,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegetarian,Proportion,0.5635251135495707,-0.5592527663357378,1.1002726428502505,NA,1.19434081361694,1.00533724688431,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegetarian,Proportion,-0.5319586399366293,NA,0.9538916723652392,NA,1.06642534728006,1.01435938674296,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegetarian,Proportion,0.22359614587783683,-0.5616755953829722,0.6629452982117066,NA,1.13390472894434,1.00475768309787,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegetarian,Proportion,-0.4918190650416325,NA,0.6904307694537116,NA,1.06596112891511,1.01168735615472,Restaurant,W8T41JZK0ZMEP,Plant-based
vegan,mpbamod,Count,-3.588117342756036,NA,-1.3369451246890551,NA,1.00284119784441,1.00549676097757,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,mpbamod,Count,-4.047898835529813,NA,-3.112692472833097,NA,1.00174838433958,1.00076307738673,Restaurant,ED5J990H5VAZT,Plant-based
vegan,mpbamod,Count,NA,NA,-3.1714812173684765,NA,0.999243789783223,1.00102474458355,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,mpbamod,Count,-3.2828796604209227,NA,-1.2266208118797948,NA,1.00382971076297,1.0045537040151,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,mpbamod,Count,NA,NA,-2.3751930714702185,NA,0.995893202803366,1.00114866435568,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,mpbamod,Count,NA,NA,-4.087689411943798,NA,0.998906020530788,1.0003391045865,Restaurant,W8T41JZK0ZMEP,Plant-based
vegan,mpbamod,Proportion,NA,NA,1.238608884669373,NA,1.00409410936273,1.01236289164066,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,mpbamod,Proportion,-0.7583021817601744,NA,0.035914146713588474,NA,1.04837017169511,1.00387567057307,Restaurant,ED5J990H5VAZT,Plant-based
