outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
vegetarian,mpbamod,Count,1,0.97,1.03,1.0010031056938913,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Count,1.15,0.99,1.35,1.00339414990148,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Count,1.02,1.01,1.04,1.007766807390063,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Count,1.01,1,1.03,1.0029466586527147,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,mpbamod,Proportion,1.4006979827052088,1.2891751495452302,1.52509035692382,1.001808597722249,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Proportion,0.7247796636776955,0,0.9969587133618938,1.003159780451717,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Proportion,0.7247796636776955,0.6309573444801932,0.8271973337231157,1.0004545612792166,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Proportion,1.1434214531455542,0.8019351848161371,1.669386016508021,1.000315058277525,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Proportion,1.0356877379527947,1.0067888050184637,1.0645943590510007,1.0014017395521382,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Proportion,1.0494252306643652,0.9533210199136081,1.1615308587170674,1.0003382775220315,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Count,1.61,1.36,1.94,1.0008552706293286,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Count,1.03,0.93,1.14,1.0007497443186166,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Count,1.03,1.01,1.05,1.0025839570160604,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Count,1.13,1.07,1.2,1.001538816060103,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Count,1.3,1.23,1.39,1.00101572078938,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegan,Count,1.02,1.01,1.04,1.0026353236741765,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Proportion,1.0140743178387932,0.9517721299086175,1.0854319117741573,1.0024341985451217,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Proportion,1.0679618300990312,0.9053576433419918,1.2337359095717821,1.0012425203694015,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Proportion,1.0959582263852172,0.99899547129175,1.2105832751075947,1.0017110365542627,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Proportion,1.3155796456985198,1.0863844688652629,1.6440255829031223,1.0021449490088516,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Proportion,1.1717689405143863,1.0679618300990312,1.29119425873596,1.0035259379177572,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegan,Proportion,1.121582063500031,1.025791204689333,1.2228977889810073,1.000681669299625,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegetarian,Count,1.15,1.12,1.2,1.0008266234618866,Restaurant,SRQS8F7JWA9MZ,Plant-based
